책 제목,소개글
바움가트너 (폴 오스터 장편소설),"2024년 4월 30일, 폴 오스터가 세상을 떠난 뒤
그의 1주기에 맞춰 출간되는 생애 마지막 작품

기억과 삶, 상실과 애도, 우연과 순간을 엮어 나가며
삶을 둘러싸고 있는 관계와 사랑에 대한 애틋한 사유를 전하는
폴 오스터의 빛나는 최종 장(章)

이것은 삶을 가득 채우는 부재와 지속되는 상실의 기록이다. 당연한 슬픔이 있지만, 단지 슬픔만이 있는 것은 아니다. 그 상실 속에서도 바움가트너는, 그리고 오스터는 상상력의 힘, 〈아니, 그냥 간단하게, 꿈의 힘〉을 발견한다. 허구이지만 진실보다 더 강력한 그 무엇을.  - 금정연(작가)

〈떠오르는 미국의 별〉이라는 찬사 속에 데뷔하여 반세기 넘도록 소설과 산문 모두에서 발군의 기량을 발휘하며 미국 문학을 대표하는 작가로 견고히 자리 잡은 작가 폴 오스터. 그가 투병 중 끝을 예감하며 집필한 생애 마지막 장편소설 「바움가트너」가 정영목 씨의 번역으로 열린책들에서 출간되었다. 폴 오스터 1주기에 맞춰 출간된 이 작품은 은퇴를 앞둔 노교수 사이 바움가트너를 통해 상실과 애도, 기억과 현재, 시간의 흐름과 삶의 의미를 내밀한 시선으로 담아냈다. 초기작들을 연상시키면서도 삶의 막바지에 이른 작가의 원숙한 사유 또한 보여 준다는 평가를 받은 이 소설은, 이상한 사건 사고가 연달아 일어난 어느 날 까맣게 그을린 냄비를 바라보던 바움가트너에게 문득 인생의 사랑이었던 아내에 대한 기억이 점화되며 시작된다.
〈정원사〉라는 뜻을 가진 그의 성씨와 같이, 바움가트너는 기억의 정원 속 나뭇가지처럼 얽혀 있는 삶의 단편들을 하나씩 찾아간다. 소설은 1968년 뉴욕에서 가난한 문인 지망생으로 아내를 처음 만난 이후 함께한 40년간의 세월, 그리고 뉴어크에서의 어린 시절부터 양장점 주인이자 실패한 혁명가였던 아버지에 대한 회상까지 한 인물의 일생을 톺아보며 그의 내적인 서사를 따라간다. 폴 오스터가 평생 동안 다뤄 왔던 주제인 글쓰기와 허구가 만들어 내는 진실과 힘, 그리고 우연의 미학에 대한 사유가 간결하고 섬세하게 집약된 이 마지막 유작은 죽음 앞에서 써 내려간 상실과 기억에 관한 소설이기에 더욱 절실하고 강렬하다. 이제 폴 오스터라는 소설가를 떠나 보낸 독자들에게 『바움가트너』는 말한다. 〈그게 상상력의 힘이야, 아니, 그냥 간단하게, 꿈의 힘.〉"
어서 와 송사리 하우스,"이 층 단독주택. 빨간 지붕의 큰 집.
통칭 ‘송사리 하우스’.

이상적인 연애를 갈망하는 직장인 하루카
유명해지고 싶어 노출을 고민하는 배우 나치
일과 결혼 사이에서 망설이는 커리어우먼 가에데
아픈 가족사로 힘들어하는 집주인 유즈

여성 전용 셰어 하우스 송사리 하우스에 사는 외모도 성격도 직업도 제각각인 네 명의 입주민. 그런데 집이 재개발 구역으로 선정되는 바람에 헤어지기까지 남은 시간은 고작 1년. 그런데 이대로 헤어지는가 싶었던 그 1년이 시끌벅적 다사다난하게 굴러간다.

꿈과 우정에 조바심내는 4인 4색 청춘들의 다사다난 시끌벅적 셰어 라이프!
어서 오세요, 이곳은 여성 전용 셰어 하우스 ‘송사리 하우스’입니다."
어른의 행복은 조용하다,"요란한 세상에서도 흔들리지 않고 
내 삶을 사는 현명한 행복에 관하여

행복을 찾는 방법이 아니라
불행에 대한 수비력을 길러주는 58가지 인생 이야기

《1cm 다이빙》, 《홈 in 홈》으로 많은 사랑을 받았던 에세이스트 태수가 2년 만의 신작 《어른의 행복은 조용하다》로 돌아왔다. 이번 신작에서 저자 태수는 그동안 선보였던 이야기보다 한층 성숙하고 현명하게 삶의 행복에 가까워지는 방법에 대해 이야기한다. 새로운 것, 짜릿한 것, 남들보다 높은 곳에서 행복하고 싶어 발버둥치는 사람들에게 행복은 꼭 그런 데에만 있는 게 아니라 불행해지지 않는 것에서부터 출발한다고 조용히 알려준다.
《어른의 행복은 조용하다》는 요란한 세상에서도 흔들리지 않고 내 삶을 살아가는 튼튼하고 단단한 태도에 대해 말한다. 시끌벅적 기쁜 일을 찾아다니기보다도, 울 일이 없고 별다른 나쁜 일이 없는 하루를 만들어야 한다고 강조한다. 그랬을 때에야 진정한 행복이 우리 곁에 온다는 사실을 다시 한번 일깨워준다.
이 책을 먼저 읽은 독자들의 반응 역시 뜨겁다. “울고 싶어지는 날이면 태수 작가의 글을 찾는다. 충분히 울고 다시 나아가기 위해”, “〈불편한 편의점〉 이후로 오랜만에 끝나지 않길 바라던 책”이라며 극찬하고, SNS에서 선보인 선공개 원고에도 빨리 책으로 출간해달라는 요청이 쇄도했다. 
이제 당신 차례다. 《어른의 행복은 조용하다》를 읽고 현명하게 행복해질 수 있다. 혹자는 여전히 의심스러운 목소리로 그토록 조용한 인생에서도 행복을 발견할 수 있냐고 묻지만 저자는 확신에 찬 목소리로 단호하게 답한다. “물론”이라고."
밑줄과 생각,"“나의 생각이 그의 한 문장에서 멈췄다.
나는 연필을 들어 밑줄을 그었다”

젊은작가상, 황순원문학상, 문지문학상, 오영수문학상 수상 작가 정용준 신작 산문집

‘소통’과 ‘죽음’이란 화두를 통해 인간다움이란 무엇인지 천착해온 작가 정용준이 신작 산문집 『밑줄과 생각』을 선보인다. 2024년 오영수문학상과 젊은예술가상을 동시에 수상하면서 “대상에 대한 집요함, 세계에 대한 균형 감각, 정직함, 서사적 밀도, 뚜렷한 문제의식 등을 탁월하게 드러낸다”는 평가를 받은 그는 세 권의 소설집과 세 권의 장편소설, 두 권의 중편소설을 펴내고 국내 유수의 문학상을 받으며 뚜렷한 문학적 궤적을 남겨왔다.

『밑줄과 생각』은 2009년 데뷔 후 15년간 소설의 안팎에서 활발하고도 꾸준히 독자들을 만나온 작가 정용준이 “읽기와 쓰기가 우리에게 주는 모든 것”에 관해 적어 내려간 기록들의 모음으로, 문예지, 일간지, 단행본 등 여러 지면을 통해 발표한 산문 37편이 수록되어 있다. 글들의 면면을 살펴보면 형식에 얽매이지 않고 자유롭게 쓴 글이라는 뜻의 ‘산문’이란 단어에 걸맞게 주제와 내용, 형식과 분량이 모두 일정한 틀에 구애받지 않고 다채롭다. 때론 자기만의 내밀한 고백이 담긴 일기 같고, 때론 누군가를 향한 그리움과 애정을 담은 연서 같으며, 한편으로는 압축적이고 상징적인 시와 같지만, 무엇보다도 그 자체로 ‘소설적인’ 글들이다. 

정용준 작가는 이 책에서 타인의 마음에 드리운 ‘숲’과 ‘바다’를, 인간의 감정과 감각에 깃든 ‘바람’과 ‘별자리’를 만나게 해준 문장들에 밑줄을 긋는다. 한 번도 가본 적 없는 먼 곳으로, 한 번도 닿은 적 없는 깊은 곳으로 나아갈 수 있도록. 서로가 서로를 발견하는 일, 서로가 서로에게 발견되는 일. 그것이 바로 ‘읽기’와 ‘쓰기’라고 말했던 작가가 읽어낸 무수한 문장들의 행간과 문맥을 짚어가면서, 우리는 이해와 공감, 그리고 그 끝에 찾아오는 귀하고도 고마운 통찰과 깨달음을 얻는다. 

한 줄의 문장. 그 밑에 그은 한 줄의 밑줄. 그 곁으로 여러 생각들이 만들어지는 책이 되었으면 합니다. 공감과 동감의 끈으로 친구와 연인과 가족과 마을과 세계가 만들어지듯 같은 생각 같은 감정으로 우리가 엮이고 뒤엉켜지면 얼마나 좋을까요. 그래서 비슷해진다면. 마침내 같아진다면. 거울처럼. 유리처럼. 
_‘작가의 말’ 중에서"
즐거운 어른 (스페셜 양장본),검색 결과 없음
소설 보다: 여름 2024,"새로운 세대가 그려내는 여름의 소설적 풍경

독자에게 늘 기대 이상의 가치를 전하는 특별 기획, 『소설 보다: 여름 2024』가 출간되었다. 〈소설 보다〉는 문학과지성사가 분기마다 ‘이 계절의 소설’을 선정, 홈페이지에 그 결과를 공개하고 이를 계절마다 엮어 출간하는 단행본 프로젝트로 2018년에 시작되었다. 선정된 작품은 문지문학상 후보로 삼는다.
〈소설 보다〉 시리즈는 젊은 작가들의 소설은 물론 선정위원이 직접 참여한 작가와의 인터뷰를 수록하여 7년째 독자들의 큰 호응을 얻고 있다. 앞으로도 계절마다 간행되는 ‘소설 보다’는 주목받는 젊은 작가와 독자를 가장 신속하고 긴밀하게 연결하는 가교 역할을 충실히 해낼 것이다.
『소설 보다: 여름 2024』에는 2024년 여름 ‘이 계절의 소설’ 선정작인 서장원의 「리틀 프라이드」, 예소연의 「그 개와 혁명」, 함윤이의 「천사들(가제)」 총 세 편과 작가 인터뷰가 실렸다. 해당 작품은 제14회 문지문학상 후보가 된다. 선정위원(강동호, 소유정, 이소, 이희우, 조연정, 홍성희)의 자유로운 토론을 거쳐 선정한 작품들의 심사평은 문학과지성사 웹사이트에서 확인할 수 있다.

* 도서는 1년 동안 한정 판매될 예정이다."
사람은 무엇으로 사는가 (톨스토이 단편선),"대지주에서 위대한 농부로 전환한 톨스토이가
민중을 위하여 집필한 보석같은 단편 7선

고전을 집대성한 소담 클래식의 첫 권 톨스토이 단편집 『사람은 무엇으로 사는가』가 독자들을 찾아온다.

오랫동안 사랑받아온 단편 〈사람은 무엇으로 사는가〉 외에도 〈사랑이 있는 곳에 신이 있다〉, 〈인간에게 얼마나 많은 땅이 필요한가〉, 〈바보 이반〉, 〈촛불〉, 〈예멜리얀과 북〉, 〈무엇 때문에〉와 같은 걸작 단편을 모아 둔 이 단편선은 인간이 왜 탐욕을 멀리하고 선과 사랑을 가까이해야 하는지, 탐욕을 멀리하지 않음으로써 맞이하게 되는 결말이 무엇인지를 간결하고 정확한 말로 풀어 이야기한다.

모호해진 도덕적 감수성을 바로잡아야 하는 지금, 사회의 부조리와 모순으로 깊이 고민하며 투쟁을 반복하는 오늘 반드시 읽어야 하는 단편만을 추렸다. 민화를 재창조해 풀어낸 이 일곱 편의 단편은 쉽고 재미있을 뿐 아니라 아이들뿐 아니라 어른들에게도 곱씹어 볼 만한 교훈을 선사한다."
작가와 작품을 분리할 수 있는가?,"작품과 작가의 도덕성을 둘러싼 문제는 이 시점 가장 격렬한 논쟁거리다. 사건이 생길 때면 논쟁은 뜨겁게 타올라, 때로는 건강한 토론이 아닌 근거 없는 비난과 논리 없는 말싸움으로 번지곤 한다. 그것은 지금까지 이를 다루는 이론적, 분석적 틀이 부재했기 때문이다. 작가와 작품의 도덕성을 둘러싼 여러 종류의 논의를 아우르고, 활용할 만한 기초적인 이론과 분석 방법을 소개하는 책이 『작가와 작품을 분리할 수 있는가?』다. 혼란스러운 이들에게 길잡이가 되어 줄 책이다."
쿨하고 와일드한 백일몽 (무라카미 하루키 에세이 걸작선),"아무리 리얼하고 쿨하게 생각해도, 
명성은 나를 때로 아주 불가사의하고 서글픈 장소로 데려간다

멜랑콜리한 사색과 기발한 상상이 공존하는 그만의 원더랜드

『양을 둘러싼 모험』에서 『노르웨이의 숲』에 해당하는 시기, 잡지 〈하이패션〉에 약 5년에 걸쳐 연재한 에세이를 모았다. 한층 진중해진 시선으로 작가로서의 정체성을 드러내는 하루키의 면모를 확인할 수 있는 한편, 사이사이 엿보이는 반짝이는 상상력과 소년적인 감성이 그 매력을 더한다. 국내에 처음 공개되는 에세이 포함 총 32편이 수록되어 있다."
츠바키 문구점 (오가와 이토 장편소설),"대신 쓴 편지가 기적처럼 만들어내는 위로의 시간!

섬세한 시선으로 사람들을 따뜻하게 위로하고 치유하는 힐링 소설을 통해 많은 사랑을 받고 있는 오가와 이토의 장편소설. 문구를 파는 평범한 가게처럼 보이지만, 사실은 대대로 편지를 대필해온 츠바키 문구점을 중심으로 가마쿠라 사람들의 따뜻한 이야기를 선사한다.

자신만의 내밀한 상처를 안고서 대필을 의뢰하기 위해 찾아오는 사람들의 다채로운 사연, 그리고 그들에게 귀 기울이고 그들의 진심이 고스란히 담기도록 편지를 쓰는 자세부터 필체와 어투, 필기도구의 종류, 편지지와 편지 봉투의 지종, 우표 모양, 밀봉 방식까지 세세하게 신경 쓰는 포포의 대필 과정이 가슴 뭉클하게 그려진다.

우편물이라고는 각종 고지서와 광고물뿐 정성 어린 손편지가 사라진 디지털 시대에 아날로그 손편지를 소재로 선택한 〈츠바키 문구점〉은 간절한 마음이 담긴 편지 한 통으로 어떻게 기적 같은 순간이 만들어지는지, 편리한 이메일과 메신저와 SNS 시대에 우리가 놓치고 있는 것이 무엇인지 다시금 일깨운다."
이호선의 나이 들수록: 관계편 (나이 듦의 불안이 사라지는 32가지 심리 수업),"“오늘부터 ‘감정연금’을 준비하세요.”
정년퇴직과 육아 졸업 후 찾아올 기나긴 외로움,
인생 후반전의 행복은 관계가 좌우한다

‘100세 시대’라는 상투어가 된 지금, 육아를 졸업하고 퇴직한 이후에도 기나긴 노년을 살아가야 한다. ‘3층 연금탑’, ‘다운사이징’처럼 지금의 ‘노후 대비’는 경제적 대비로 여겨지지만, 이호선 교수는 ‘관계’을 노후 대비의 핵심으로 꼽는다. 〈이혼숙려캠프〉의 ‘사이다 상담가’이자 대한민국 중노년의 대표 멘토인 이호선 교수는 “나이 들수록 모든 걸 줄여도 관계만큼은 줄이지 말아야 한다”며 인생 후반전의 행복을 책임질 ‘감정연금’, 곧 내 삶을 지탱할 인간관계의 망을 일찌감치 준비해야 한다고 강조한다. 이번에 은행나무출판사에서 출간된 《이호선의 나이 들수록: 관계편》은 수천 명의 중년·노년의 내담자를 만나오며 깨달은 적정한 인간관계의 법칙을 심리학, 사회학, 의사소통 이론 등을 바탕으로 풀어낸 책이다. 
이호선 교수는 가장 가깝고 평생 떨어질 수 없는, 가장 오래된 관계인 ‘나’와의 관계에서 인간관계가 출발한다. 먼저 가족을 부양·양육하고 사회적 성공을 위해 힘써왔던 중년을 지나면서 인생의 초점을 ‘나’로 옮겨 나와의 관계를 재정립해야 한다. ‘나’의 자존심, 자신감, 자존감, 자기애를 돌아보고, ‘나’의 감정을 이해하면서 ‘나’와의 관계가 변화할 때, 가족, 친구, 이웃, 직장 동료 등 더 넓은 관계도 안정적으로 변화한다. 
이처럼 우리가 살아오면서 맺는 여러 유형의 관계에는 각각의 역할이 있다. 태어날 때부터 형성된 가족 관계는 서로를 응원하는 정서적 공동체이고, 친구 관계는 ‘나’라는 존재를 확장하고 지탱하는 느슨한 유대가 되어주며, 사회적 관계는 나의 성취나 안정적인 지위와 연결된다. 세 종류의 ‘감정연금’을 충분히 쌓는다면 길어진 인생은 ‘기나긴 외로움’이 아닌 행복하고 풍요로운 시간이 될 수 있다."
웰컴 투 탄광촌 이발소,"스토리텔링의 천재 오쿠다 히데오가 전하는
눈 덮인 시골 마을의 따뜻한 군고구마 같은 이야기!

“이 촌구석 이발소를 맡겠다고?
산을 보면서 ‘어서 오십쇼!’ 할 셈이냐!”
“회사원은 누구나 할 수 있는 거예요.
이 일은 다르다고요!”

유쾌한 필력, 살아 숨 쉬는 듯 생생한 캐릭터 창조, 시대를 포착하는 날카로운 통찰력, 자연스러운 공감대를 형성하는 스토리텔링으로 한국과 일본의 소설 독자들에게 엄청난 사랑을 받고 있는 베스트셀러 작가 오쿠다 히데오. 그가 《웰컴 투 탄광촌 이발소》로 2025년, 한국 독자들을 새롭게 만난다. 
《웰컴 투 탄광촌 이발소》는 눈 덮인 시골 마을 도마자와의 한 이발소를 배경으로, 총 6편의 이야기가 이어지는 연작 소설집이다. 이 세상을 따뜻하고 살 만한 곳으로 묘사하는 작가 특유의 개성이 고스란히 묻어나는 이 작품에서, 오쿠다 히데오는 약간의 시니컬함과 무뚝뚝함에 감춰진 시골 사람들의 따뜻하고 인간미 넘치는 정과 저마다의 사연을 군더더기 없이 담백하게 담아낸다. 술술 읽다 보면 어느새 슬며시 미소 짓게 되는 유머, 가슴 뭉클한 페이소스와 마음 한구석을 따뜻하게 물들이는 감동까지, 등장인물들을 따라가다 보면 어느새 작가의 대표작인 《공중그네》 속 이라부가 연상되기도 한다."
잊기 좋은 이름 (김애란 산문),"소설가, 학생, 딸, 아내, 시민, 인간으로서의 김애란의 삶을 고백하다!

2002년 등단한 이후 만 17년여라는 시간 동안 김애란이 기록해온 김애란의 다채로운 진면목이 속속들이 담긴 산문집 『잊기 좋은 이름』. 소설을 통해 내면의 모순을 비추어보며 사람에 대한 성찰을 완성해온 저자는 이번 책에서 자신을 둘러싼 사람들에 관한 이야기이자 그 자신과 자신이 사랑하는 사람들에 의한 이야기인 동시에, 잊은 사람들의 이야기들을 특유의 섬세하고 따스한 목소리로 들려준다.

1부 '나를 부른 이름'은 저자의 성장과 가족에 관한 이야기로, 어린 시절부터 대학 시절, 문학청년 시절, 성장기 환경에 대한 사연들로 가득하다. 2부 '너와 부른 이름들'에서는 저자가 동료 문인들을 비롯해 자신의 주변에 대한 깊이 있는 눈길을 담아낸 글을 담고 있다. 3부 '우릴 부른 이름들'에는 문학 관련 글과 개인적인 경험담을 담았다.

소설가로서의 얼굴 너머 소녀로서의 얼굴, 학생으로서의 얼굴, 딸로서의 얼굴, 아내로서의 얼굴, 시민으로서의 얼굴, 인간으로서의 얼굴 등 그동안 꺼내놓은 적 없는 다양한 면모들을 기록한 이 책을 통해 저자를 이루는 무수한 사람들의 사연들을 만나볼 수 있다. 당연하다는 듯이 잊어버리고 만 자신의 이름을 되찾고, 우리들의 이름을 일일이 불러주며 저자는 모두 기억되어야 할 이름으로 문학을 쓰고 삶을 살아간다고, 잊기 좋은 이름은 없다고, 낮고 단단한 목소리로 힘주어 말한다."
다이내믹 코리아,《다이내믹 코리아》는 정치 시사 토론 채널 ‘토론의 즐거움’에서 펴내는 토론집이다. 첫 주제는 ‘숏폼’이다. 지금은 숏폼의 전성시대. 도파민만을 집중 공략하는 짧고 강렬한 ‘숏폼’ 앞에서 속수무책으로 무너지는 미디어의 현실을 직시하며 토론자들은 이런 현상이 민주주의 위기로까지 이어질 것이라는 암울한 전망을 내놓기도 한다. 유튜브로 ‘독학’하며 편향된 사상으로 무장한 ‘외로운 늑대’들의 정치인 테러 그리고 거부권 중독에 빠진 윤석열 대통령의 12·3 내란 계엄까지 한국 사회를 다이내믹하게 뒤흔든 이슈들을 한 권에 모았다.
선량한 차별주의자(30만부 기념 거울 에디션),"선량한 마음만으로 평등은 이루어지지 않는다!

은밀하고 사소하며 일상적이고 자연스럽게 벌어지는 일들 속에서 선량한 우리가 놓치고 있던 차별과 혐오의 순간을 날카롭게 포착하는 『선량한 차별주의자』. 차별의 사각지대에 놓인 이들을 직접 찾아가는 현장 활동가이자, 통계학·사회복지학·법학을 넘나드는 통합적인 시각을 바탕으로 국내의 열악한 혐오·차별 문제의 이론적 토대를 구축하는 데 전념해온 연구자인 김지혜 교수가 인간 심리에 대한 국내외의 최신 연구, 현장에서 기록한 생생한 사례, 학생들과 꾸준히 진행해온 토론수업과 전문가들의 학술포럼에서의 다양한 논쟁을 버무려 우리 일상에 숨겨진 혐오와 차별의 순간들을 생생하게 담아냈다. 

1부에서는 우리가 차별을 보지 못하고 선량한 차별주의자가 되는 이유를 중점적으로 다룬다. 모든 사람은 가진 조건이 다르기에, 각자의 위치에서 아무리 공정하게 판단하려 한들 편향될 수밖에 없다는 점을 지적하면서, 우리가 보지 못하는 차별을 알아채기 위해서는 자신이 가진 특권을 발견하는 것이 중요하다고 말한다. 저자의 날카롭고 다각적인 문제제기를 따라가다 보면, 아무리 선량한 시민이라도 차별을 전혀 하지 않을 가능성은 거의 없다는 것을 깨닫게 된다. 

2부에서는 다양한 사례를 통해 차별이 지워지거나 공정함으로 둔갑되는 메커니즘을 살핀다. 저자는 차별에 대한 논란들을 차근차근 해부하며 역으로 질문을 던지고, 인간 심리와 사회현상에 대한 다양한 연구와 이론을 소개하면서 독자가 자연스럽게 평등과 차별을 탐구해볼 수 있게 한다. 3부에서는 차별과 혐오에 대응하는 우리의 자세를 살핀다. 각종 논쟁과 실험을 풍부하게 제시하며, 지금 당장 시작할 수 있는 한걸음의 대안부터 우리가 나아가야 할 방향까지 폭넓게 살펴본다."
사이토 다카시의 훔치는 글쓰기,"독서로 기초 체력을 다지고, 글쓰기로 승부를 걸어라!

자기 어필 과잉의 시대다. 어떤 식으로든 자신을 드러내고 표현해야 한다. 대학 입시부터 취업까지, 자기소개서부터 보고서까지 우리는 매순간 글로써 나를 표현하고 상대를 설득해야만 한다. 인생의 고비마다 분야를 막론하고 필요해진 글쓰기, 더는 회피하고 있을 수만은 없다. 자신을 돋보이게 하고 원하는 것을 얻어낼 수 있는 글쓰기. 베스트셀러 저자이자 메이지 대학교 문학부 교수, CEO들의 멘토인 사이토 다카시가 알려주는 글쓰기 노하우를 정복해보자.

글쓰기 멘토 사이토 다카시 교수가 말하는 초심자를 위한 글쓰기 9원칙

1. 글쓰기의 가장 큰 적은 두려움이다
2. 만화만큼 좋은 텍스트도 없다
3. 원고지 10장을 쓸 수 있으면 어떤 글이든 쓸 수 있다
4. 멋 부린 문장보다 정직한 문장이 더 감동적이다
5. 관점이 명확하면 절반은 한 것이다
6. ‘질문’이 아니라 ‘발문’을 잘해야 한다
7. 키워드만 찾으면 읽기도, 쓰기도 쉬워진다
8. 평론만큼 좋은 교과서도 없다
9. 결론 먼저, 이유는 나중에 쓴다"
폴란드인,"쇼팽의 음악처럼 우리 마음을 사로잡고 흔들어 놓는 소설
노벨문학상, 세계 최초 부커상 2회 수상 작가 쿳시의 압도적 예술세계

세련되고 애수 어린 러브 스토리, 정밀하고 선명하며 아름다운 산문. 『추락』의 묵직한 감동을 잇는 사랑과 이별, 삶과 죽음, 쇼팽의 음악에 관한 잊을 수 없는 이야기. 

“나는 당신의 이름을 입술에 머금고 죽을 겁니다.”
음악이 사람을 더 좋게 만든다고 생각하는, 바르셀로나의 음악 서클 여인 베아트리스와 그녀에게 첫눈에 반한 쇼팽 전문 폴란드 피아니스트. 두 사람 사이에 벌어지는 은밀한 사랑 이야기가 간결하지만 팽팽하게 감긴 스프링 같은 산문으로 그려진다. 곧 마음 깊은 곳의 에너지를 폭발시키는 놀라운 반전이 기다리고 있다.
이 소설은 원제 『The Pole(폴란드인)』이 상징하는 것처럼 폴란드 출신 작곡가 쇼팽의 사랑 이야기가 기저에 깔려 있다. 쇼팽과 그의 연인 상드가 도피 여행을 한 마요르카에서 남녀 주인공의 관계가 전환점을 갖는다.
피아니스트가 주인공이어서 음악 소설처럼 읽히기도 한다. 쇼팽 음악을 바흐 풍으로 담담하게 해석하는 폴란드 피아니스트, 그리고 그의 음악과 대비되는 여러 음악가들이 소설 속으로 유입된다. 클래식 음악을 좋아하는 이들을 사로잡는 흥미로운 요소가 곳곳에 숨어 있다.
이 소설은 또 단테의 『새로운 인생』과 『신곡』에 나오는 단테와 베아트리체 이야기가 하나의 원형으로 등장한다. 단테의 스토리는 남성의 시각에서 쓴 것이지만, 『폴란드인』은 뮤즈인 여성의 시각에서 쓴 것이어서 큰 차이가 있다.
J.M. 쿳시는 의심할 여지 없이, 우리 시대의 가장 영향력 있는-그리고 도발적인-작가 중 한 사람이다. 그는 『폴란드인』에서 특유의 통찰력과 날카로운 위트를 갖고 불가사의한 로맨스의 본질을 드러낸다. 최고의 소설에서 만나는 다양한 감동의 순간을 환기하는 잊을 수 없는 작품이다.

영어로 쓰였지만 스페인어로 먼저 출간

쿳시는 남아프리카공화국의 아프리칸스어가 모국어이지만 영어로 글을 써와 영어권 소설가로 분류된다. 『폴란드인』도 원래 영어로 쓰였으나 2022년 스페인어로 번역되어 아르헨티나에서 영어권보다 1년 먼저 출간되었다. 그는 헤이문학축제에서 그 이유를 이렇게 밝혔다.
“나는 영어가 세계를 점령하는 방식이 싫습니다. 나는 그것이 발을 딛는 곳마다 소수의 언어를 으스러뜨리는 방식이 싫습니다. 나는 그것이 세계적이라는 주장, 즉 세상이 영어로 정확하게 반영된다는 검증되지 않은 주장이 싫습니다. 나는 이 상황이 영어 원어민들에게 조성하는 오만함이 싫습니다. 따라서 나는 영어의 주도권에 저항하기 위해서 내가 할 수 있는 작은 것을 하는 것입니다.”"
군주론 인생공부 (보고 듣고 알고 있는 모든 것을 의심하라),"군주론을 해부한 42가지 철학수업

《군주론》은 오늘날까지도 정치학과 경영학 등 다양한 분야에서 중요한 참고 자료로 여겨집니다. 또한 권력의 본질과 인간의 본성을 날카롭게 파헤치며, 이상주의적 철학과는 대조되는 현실주의적 정치 철학의 기초를 다진 작품으로 평가받고 있습니다. 하버드대학교와 옥스퍼드대학교에서 필독서로 선정되었으며, 〈타임〉지와 〈뉴스위크〉가 선정한 세계100대 도서로 500년간 전 세계 리더들이 가장 많이 사랑 한 책 중의 한 권입니다.

이 책에서는 마키아벨리의 《군주론》 이탈리아어판 초판 원문에서 군주론을 대표하는 42개 명제를 선정하여, 이를 현대적 시각에서 재해석하고, 오늘날 우리에게 어떤 교훈을 줄 수 있는지에 대해 탐구합니다. 각 꼭지는 하나의 명제를 중심으로 구성됩니다. 독자가 그 의미를 보다 쉽게 이해할 수 있도록 사례를 먼저 제시합니다. 이 사례들은 역사적 사건, 기업의 전략, 일상에 서 쉽게 접할 수 있는 경험들로 이루어져 있으며, 이를 통해 마키아벨리의 명제를 오늘날 어떻게 적용할 수 있는지에 대한 구체적인 그림을 그려줍니다. 그리고 해석 부분에서는 마키아벨리의 철학적 배경과 함께, 해당 명제가 《군주론》 전체에서 어떤 맥락을 가지며, 그가 궁극적으로 전달하고자 했던 메시지가 무엇인지 설명합니다.

이 책을 통해 《군주론》의 명제들이 독자들에게 인간에 대한 실질적인 통찰과 영감을 제공하고, 오늘날의 복잡한 사회에서도 여전히 유효한 지침임을 깨닫게 될 것입니다."
미오기傳,검색 결과 없음
"위스키, 스틸 영","지금은 위스키의 전성시대이다. 그저 비싸고 독하고 맛있는 술로만 알고 즐기기는 아쉽다. 이 책은 위스키 전문가 박병진이 들려주는 위스키 ‘인문학’이다. 알 수 없는 맛에 대한 표현이나 실용적인 가이드 정보보다는 위스키를 둘러싼 인간의 역사에 초점을 맞췄다. 이를 위해 작가는 오랫동안 아일랜드, 스코틀랜드, 미국, 일본 등 위스키 증류소를 직접 방문해 취재를 거듭했다. 작가는 깊은 골짜기에 자리잡은 증류소에서 마치 구도자처럼 오랜 역사와 함께 위스키를 만들어가는 사람들을 만나며 위스키의 과거와 현재 그리고 미래를 이야기한다. 이 책을 통해 위스키를 둘러싼 사회·문화·역사를 두루 살피며 술과 함께 해온 인류의 역사를 좀 더 깊이 이해할 수 있을 것이다."
셔닐 손수건과 속살 노란 멜론,"다시 뭉친 쓰리 걸스의 수다 삼매경!
각기 다른 세 여성의 잔잔하고도 소란스러운 일상 속으로

오랜 해외 생활을 마무리하고 일본으로 귀국한 돌싱 리에.
글을 쓰며 어머니와 함께 사는 싱글 다미코.
남편, 아들과 함께 살며 치매에 걸린 시어머니를 문병하는 주부 사키.

대학 시절 늘 셋이서 붙어 다녀서 지어진 이름, 쓰리 걸스. 졸업 이후 삼십 년간 완전히 다른 인생을 살았지만, 자유롭고 비범한 리에의 귀국을 계기로 다시 뭉친 순간 그들은 수다 삼매경에 빠진다.
잔잔하면서도 소란스러운,
소소하면서도 시끌벅적한
직선에서 살짝 벗어난 일상 이야기."
